Frame,Mg,NaCl
MG_15mM_1264_Box_50_run3_frame0341_SHL6,0.256541,0.362016
MG_15mM_1264_Box_50_run3_frame0344_SHL4,0.216709,0.378812
MG_15mM_1264_Box_50_run3_frame0351_SHL4,0.236771,0.326999
MG_15mM_1264_Box_50_run3_frame0354_SHL4,0.051675,0.162172
MG_15mM_1264_Box_50_run3_frame0358_SHL2,0.133659,0.22035
MG_15mM_1264_Box_50_run3_frame0369_SHL2,0.222788,0.321647
MG_15mM_1264_Box_50_run3_frame0370_SHL4,0.171863,0.283617
MG_15mM_1264_Box_50_run3_frame0371_SHL4,0.22252,0.268262
MG_15mM_1264_Box_50_run3_frame0372_SHL4,0.204995,0.235652
MG_15mM_1264_Box_50_run3_frame0373_SHL4,0.291898,0.342931
MG_15mM_1264_Box_50_run3_frame0378_SHL2,0.252482,0.290525
MG_15mM_1264_Box_50_run3_frame0384_SHL4,0.213987,0.278759
MG_15mM_1264_Box_50_run3_frame0391_SHL2,0.214872,0.291585
